1,,,,,,,,,,,,,,,,,,,,
3.10,Combien de temps pour apprentissage,0,1 à 2,3 à 5,Autre,Pas de réponse,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.11,Activités préférées,Parler la L,Ecrire la L,Faire de la grammaire,Comprendre une discussion,Comprendre un texte,Lire des livres,Autre,Pas de réponse,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.12,Activités les plus utiles,Parler la L,Ecrire la L,Faire de la grammaire,Comprendre une discussion,Comprendre un texte,Lire des livres,Autre,Pas de réponse,,,,,,,,,,,
,,1,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.13,Aimez pas en allemand,Grammaire,Lecture,Expression orale,Compréhension orale,Expression écrite,Compréhension écrite,Exercices,Vocabulaire,Tests,Enseignant,Tout,Rien,Autre,Pas de réponse,,,,,
,,1,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.14,Allemand c'est,intéressant,ennuyeux,facile,difficile,utile,inutile,choix ,obligation,nouvelle culture,parler aux autres,L comme les autres,pouvoir travailler à l'étranger,Pas de réponse,,,,,,
,,2,1,2,1,2,1,1,1,1,2,1,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.15,3 Noms de villes allemandes,Berlin,Hamburg,München,Freiburg,Köln,Leipzig,Frankfurt,Stuttgart,Dortmund,Düsseldorf,Autre,Pas de réponse,,,,,,,
,,1,1,,,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.16,3 Noms de marques allemandes,Voitures,Habits,Bière,Magasins,Télévision,Nourriture,Autre,Pas de réponse,,,,,,,,,,,
,,2,,,,,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.17,3 images,Nourriture,Bière,Voiture,Histoire,Hitler/Nazi,Paysage,Acteur,Musicien,Politique,Météo,Football,Europa-Park,Ville,Fête de la bière,Blondes,Langue,Autre,Pas de réponse,
,,,,,,2,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.1,en dehors parle allemand/Ch-all,Allemand,Suisse-allemand,Non,Pas de réponse,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.2,"Si oui, avec qui",Famille,Amis,Loisirs/vie associative,Autre,Pas de réponse,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.3,Famille dans pays allemand,Oui en Allemagne,Oui en Suisse-Allemande,Non,Pas de réponse,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.4,"Si, oui en quels langues parlez-vous?",Allemand,Français,Autre,Pas de réponse,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.5,Séjours ,Oui,Non,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Combien de temps,1 semaine,2 semaines,3 semaines,1 mois,2 mois,3 mois,4-6 mois,plus de 6 mois,Autre,Pas de réponse,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.6,Télévision en allemand,0,1 à 2,3 à 5,plus de 5,Autre,Pas de réponse,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.7,Chansons en allemand,0,1 à 2,3 à 5,Autre,Pas de réponse,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.8,Utilisation études/vie professionnelle,Oui,Non,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sujet 37,,,,,,,,,,,,,,,,,,,,
1.1,Classe,1C,1M,3C,3M,4MSOP,Pas de réponse,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1.2,Sexe,masculin,féminin,Pas de réponse,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1.3,Age,15,16,17,18,19,20,21,22,Pas de réponse,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1.4,Nationalité,Suisse,Allemand,Français,Anglais,Italien,Espagnol,Portugais,Autre,Pas de réponse,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1.5,Allemand,Obligation,Cours à Option,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.1,L parlée à la maison,Français,Allemand,Suisse-allemand,Anglais,Italien,Espagnol,Portugais,Autre,Pas de réponse,,,,,,,,,,
,,,,,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.2,Français LM,oui,non,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.3,Autres L?,oui,non,Pas de réponse,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Lesquelles?,Allemand,Suisse-allemand,Anglais,Italien,Espagnol,Portugais,Autre,Pas de réponse,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.4,Langue préférée,Français,Allemand,Suisse-allemand,Anglais,Italien,Espagnol,Portugais,Turc,Serbe,Chinois,Arabe,Russe,Autre,Pas de réponse,,,,,
,,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.5,Langue la moins appréciée,Français,Allemand,Suisse-allemand,Anglais,Italien,Espagnol,Portugais,Turc,Serbe,Chinois,Arabe,Russe,Autre,Pas de réponse,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.6,Langue la plus belle,Français,Allemand,Suisse-allemand,Anglais,Italien,Espagnol,Portugais,Turc,Serbe,Chinois,Arabe,Russe,Autre,Pas de réponse,,,,,
,,,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.7,Langue la plus horrible,Français,Allemand,Suisse-allemand,Anglais,Italien,Espagnol,Portugais,Turc,Serbe,Chinois,Arabe,Russe,Autre,Pas de réponse,,,,,
,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.1,LM + français suffit,oui,non,Pas de réponse,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.2,LE au gymnase,Allemand,Anglais,Italien,Espagnol,Portugais,Chinois,Russe,Autre,Pas de réponse,,,,,,,,,,
,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.3,Utile d'apprendre l'allemand,oui,non,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.4,Pourquoi,Utile en CH,Travail,langues = important,Voyage,Pas lingua-franca,Sert à rien,Pas de réponse,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.5,Suisse-allemand à l'école,Oui,Non,Pas de réponse,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.6,Aimez-vous l'allemand,Oui,Non,Pas de réponse,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.7,Compétences,1,2,3,4,5,6,Pas de réponse,,,,,,,,,,,,
,Comprendre discours,,1,,,,,,,,,,,,,,,,,
,Comprendre un texte,,,1,,,,,,,,,,,,,,,,
,Parler,1,,,,,,,,,,,,,,,,,,
,Ecrire,1,,,,,,,,,,,,,,,,,,
,Faire de la grammaire,1,,,,,,,,,,,,,,,,,,
,Lire des livres,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.8,Participation en classe,Oui chaque cours,Presque à chaque cours,De temps en temps,Presque jamais,Jamais,Pas de réponse,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.9,Faire travaux demandés,Oui chaque cours,Presque à chaque cours,De temps en temps,Presque jamais,Jamais,Pas de réponse,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.10,Combien de temps pour apprentissage,0,1 à 2,3 à 5,Autre,Pas de réponse,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.11,Activités préférées,Parler la L,Ecrire la L,Faire de la grammaire,Comprendre une discussion,Comprendre un texte,Lire des livres,Autre,Pas de réponse,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.12,Activités les plus utiles,Parler la L,Ecrire la L,Faire de la grammaire,Comprendre une discussion,Comprendre un texte,Lire des livres,Autre,Pas de réponse,,,,,,,,,,,
,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.13,Aimez pas en allemand,Grammaire,Lecture,Expression orale,Compréhension orale,Expression écrite,Compréhension écrite,Exercices,Vocabulaire,Tests,Enseignant,Tout,Rien,Autre,Pas de réponse,,,,,
,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.14,Allemand c'est,intéressant,ennuyeux,facile,difficile,utile,inutile,choix ,obligation,nouvelle culture,parler aux autres,L comme les autres,pouvoir travailler à l'étranger,Pas de réponse,,,,,,
,,1,2,0,3,3,0,0,3,0,2,0,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.15,3 Noms de villes allemandes,Berlin,Hamburg,München,Freiburg,Köln,Leipzig,Frankfurt,Stuttgart,Dortmund,Düsseldorf,Autre,Pas de réponse,,,,,,,
,,,1,,,,,,,,,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.16,3 Noms de marques allemandes,Voitures,Habits,Bière,Magasins,Télévision,Nourriture,Autre,Pas de réponse,,,,,,,,,,,
,,1,,,,,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.17,3 images,Nourriture,Bière,Voiture,Histoire,Hitler/Nazi,Paysage,Acteur,Musicien,Politique,Météo,Football,Europa-Park,Ville,Fête de la bière,Blondes,Langue,Autre,Pas de réponse,
,,1,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,
4.1,en dehors parle allemand/Ch-all,Allemand,Suisse-allemand,Non,Pas de réponse,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.2,"Si oui, avec qui",Famille,Amis,Loisirs/vie associative,Autre,Pas de réponse,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.3,Famille dans pays allemand,Oui en Allemagne,Oui en Suisse-Allemande,Non,Pas de réponse,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.4,"Si, oui en quels langues parlez-vous?",Allemand,Français,Autre,Pas de réponse,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.5,Séjours ,Oui,Non,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Combien de temps,1 semaine,2 semaines,3 semaines,1 mois,2 mois,3 mois,4-6 mois,plus de 6 mois,Autre,Pas de réponse,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.6,Télévision en allemand,0,1 à 2,3 à 5,plus de 5,Autre,Pas de réponse,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.7,Chansons en allemand,0,1 à 2,3 à 5,Autre,Pas de réponse,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.8,Utilisation études/vie professionnelle,Oui,Non,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sujet 38,,,,,,,,,,,,,,,,,,,,
1.1,Classe,1C,1M,3C,3M,4MSOP,Pas de réponse,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1.2,Sexe,masculin,féminin,Pas de réponse,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1.3,Age,15,16,17,18,19,20,21,22,Pas de réponse,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1.4,Nationalité,Suisse,Allemand,Français,Anglais,Italien,Espagnol,Portugais,Autre,Pas de réponse,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1.5,Allemand,Obligation,Cours à Option,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.1,L parlée à la maison,Français,Allemand,Suisse-allemand,Anglais,Italien,Espagnol,Portugais,Autre,Pas de réponse,,,,,,,,,,
,,1,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.2,Français LM,oui,non,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.3,Autres L?,oui,non,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Lesquelles?,Allemand,Suisse-allemand,Anglais,Italien,Espagnol,Portugais,Autre,Pas de réponse,,,,,,,,,,,
,,,,1,,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.4,Langue préférée,Français,Allemand,Suisse-allemand,Anglais,Italien,Espagnol,Portugais,Turc,Serbe,Chinois,Arabe,Russe,Autre,Pas de réponse,,,,,
,,1,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.5,Langue la moins appréciée,Français,Allemand,Suisse-allemand,Anglais,Italien,Espagnol,Portugais,Turc,Serbe,Chinois,Arabe,Russe,Autre,Pas de réponse,,,,,
,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,
2.6,Langue la plus belle,Français,Allemand,Suisse-allemand,Anglais,Italien,Espagnol,Portugais,Turc,Serbe,Chinois,Arabe,Russe,Autre,Pas de réponse,,,,,
,,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.7,Langue la plus horrible,Français,Allemand,Suisse-allemand,Anglais,Italien,Espagnol,Portugais,Turc,Serbe,Chinois,Arabe,Russe,Autre,Pas de réponse,,,,,
,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,
3.1,LM + français suffit,oui,non,Pas de réponse,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.2,LE au gymnase,Allemand,Anglais,Italien,Espagnol,Portugais,Chinois,Russe,Autre,Pas de réponse,,,,,,,,,,
,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.3,Utile d'apprendre l'allemand,oui,non,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.4,Pourquoi,Utile en CH,Travail,langues = important,Voyage,Pas lingua-franca,Sert à rien,Pas de réponse,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.5,Suisse-allemand à l'école,Oui,Non,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.6,Aimez-vous l'allemand,Oui,Non,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.7,Compétences,1,2,3,4,5,6,Pas de réponse,,,,,,,,,,,,
,Comprendre discours,,,,1,,,,,,,,,,,,,,,
,Comprendre un texte,,,,1,,,,,,,,,,,,,,,
,Parler,,,,1,,,,,,,,,,,,,,,
,Ecrire,,,1,,,,,,,,,,,,,,,,
,Faire de la grammaire,,,,1,,,,,,,,,,,,,,,
,Lire des livres,,,,,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.8,Participation en classe,Oui chaque cours,Presque à chaque cours,De temps en temps,Presque jamais,Jamais,Pas de réponse,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.9,Faire travaux demandés,Oui chaque cours,Presque à chaque cours,De temps en temps,Presque jamais,Jamais,Pas de réponse,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.10,Combien de temps pour apprentissage,0,1 à 2,3 à 5,Autre,Pas de réponse,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.11,Activités préférées,Parler la L,Ecrire la L,Faire de la grammaire,Comprendre une discussion,Comprendre un texte,Lire des livres,Autre,Pas de réponse,,,,,,,,,,,
,,,,,,,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.12,Activités les plus utiles,Parler la L,Ecrire la L,Faire de la grammaire,Comprendre une discussion,Comprendre un texte,Lire des livres,Autre,Pas de réponse,,,,,,,,,,,
,,1,,,1,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.13,Aimez pas en allemand,Grammaire,Lecture,Expression orale,Compréhension orale,Expression écrite,Compréhension écrite,Exercices,Vocabulaire,Tests,Enseignant,Tout,Rien,Autre,Pas de réponse,,,,,
,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.14,Allemand c'est,intéressant,ennuyeux,facile,difficile,utile,inutile,choix ,obligation,nouvelle culture,parler aux autres,L comme les autres,pouvoir travailler à l'étranger,Pas de réponse,,,,,,
,,2,1,0,1,3,0,3,1,3,2,2,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.15,3 Noms de villes allemandes,Berlin,Hamburg,München,Freiburg,Köln,Leipzig,Frankfurt,Stuttgart,Dortmund,Düsseldorf,Autre,Pas de réponse,,,,,,,
,,1,,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.16,3 Noms de marques allemandes,Voitures,Habits,Bière,Magasins,Télévision,Nourriture,Autre,Pas de réponse,,,,,,,,,,,
,,,1,,1,,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.17,3 images,Nourriture,Bière,Voiture,Histoire,Hitler/Nazi,Paysage,Acteur,Musicien,Politique,Météo,Football,Europa-Park,Ville,Fête de la bière,Blondes,Langue,Autre,Pas de réponse,
,,1,1,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.1,en dehors parle allemand/Ch-all,Allemand,Suisse-allemand,Non,Pas de réponse,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.2,"Si oui, avec qui",Famille,Amis,Loisirs/vie associative,Autre,Pas de réponse,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.3,Famille dans pays allemand,Oui en Allemagne,Oui en Suisse-Allemande,Non,Pas de réponse,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.4,"Si, oui en quels langues parlez-vous?",Allemand,Français,Autre,Pas de réponse,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.5,Séjours ,Oui,Non,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Combien de temps,1 semaine,2 semaines,3 semaines,1 mois,2 mois,3 mois,4-6 mois,plus de 6 mois,Autre,Pas de réponse,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.6,Télévision en allemand,0,1 à 2,3 à 5,plus de 5,Autre,Pas de réponse,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.7,Chansons en allemand,0,1 à 2,3 à 5,Autre,Pas de réponse,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.8,Utilisation études/vie professionnelle,Oui,Non,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sujet 39,,,,,,,,,,,,,,,,,,,,
1.1,Classe,1C,1M,3C,3M,4MSOP,Pas de réponse,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1.2,Sexe,masculin,féminin,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1.3,Age,15,16,17,18,19,20,21,22,Pas de réponse,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1.4,Nationalité,Suisse,Allemand,Français,Anglais,Italien,Espagnol,Portugais,Autre,Pas de réponse,,,,,,,,,,
,,1,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1.5,Allemand,Obligation,Cours à Option,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.1,L parlée à la maison,Français,Allemand,Suisse-allemand,Anglais,Italien,Espagnol,Portugais,Autre,Pas de réponse,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.2,Français LM,oui,non,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.3,Autres L?,oui,non,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Lesquelles?,Allemand,Suisse-allemand,Anglais,Italien,Espagnol,Portugais,Autre,Pas de réponse,,,,,,,,,,,
,,1,,1,,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.4,Langue préférée,Français,Allemand,Suisse-allemand,Anglais,Italien,Espagnol,Portugais,Turc,Serbe,Chinois,Arabe,Russe,Autre,Pas de réponse,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.5,Langue la moins appréciée,Français,Allemand,Suisse-allemand,Anglais,Italien,Espagnol,Portugais,Turc,Serbe,Chinois,Arabe,Russe,Autre,Pas de réponse,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.6,Langue la plus belle,Français,Allemand,Suisse-allemand,Anglais,Italien,Espagnol,Portugais,Turc,Serbe,Chinois,Arabe,Russe,Autre,Pas de réponse,,,,,
,,,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.7,Langue la plus horrible,Français,Allemand,Suisse-allemand,Anglais,Italien,Espagnol,Portugais,Turc,Serbe,Chinois,Arabe,Russe,Autre,Pas de réponse,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.1,LM + français suffit,oui,non,Pas de réponse,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.2,LE au gymnase,Allemand,Anglais,Italien,Espagnol,Portugais,Chinois,Russe,Autre,Pas de réponse,,,,,,,,,,
,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.3,Utile d'apprendre l'allemand,oui,non,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.4,Pourquoi,Utile en CH,Travail,langues = important,Voyage,Pas lingua-franca,Sert à rien,Pas de réponse,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.5,Suisse-allemand à l'école,Oui,Non,Pas de réponse,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.6,Aimez-vous l'allemand,Oui,Non,Pas de réponse,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.7,Compétences,1,2,3,4,5,6,Pas de réponse,,,,,,,,,,,,
,Comprendre discours,,,,1,,,,,,,,,,,,,,,
,Comprendre un texte,,,,1,,,,,,,,,,,,,,,
,Parler,,,,,,1,,,,,,,,,,,,,
,Ecrire,,,,,,1,,,,,,,,,,,,,
,Faire de la grammaire,,,,,,1,,,,,,,,,,,,,
,Lire des livres,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.8,Participation en classe,Oui chaque cours,Presque à chaque cours,De temps en temps,Presque jamais,Jamais,Pas de réponse,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.9,Faire travaux demandés,Oui chaque cours,Presque à chaque cours,De temps en temps,Presque jamais,Jamais,Pas de réponse,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.10,Combien de temps pour apprentissage,0,1 à 2,3 à 5,Autre,Pas de réponse,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.11,Activités préférées,Parler la L,Ecrire la L,Faire de la grammaire,Comprendre une discussion,Comprendre un texte,Lire des livres,Autre,Pas de réponse,,,,,,,,,,,
,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.12,Activités les plus utiles,Parler la L,Ecrire la L,Faire de la grammaire,Comprendre une discussion,Comprendre un texte,Lire des livres,Autre,Pas de réponse,,,,,,,,,,,
,,1,1,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.13,Aimez pas en allemand,Grammaire,Lecture,Expression orale,Compréhension orale,Expression écrite,Compréhension écrite,Exercices,Vocabulaire,Tests,Enseignant,Tout,Rien,Autre,Pas de réponse,,,,,
,,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.14,Allemand c'est,intéressant,ennuyeux,facile,difficile,utile,inutile,choix ,obligation,nouvelle culture,parler aux autres,L comme les autres,pouvoir travailler à l'étranger,Pas de réponse,,,,,,
,,3,0,3,0,3,0,3,0,2,2,1,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,
